,28/04/2019,05/05/2019,12/05/2019,19/05/2019,26/05/2019,02/06/2019,09/06/2019,16/06/2019,23/06/2019,30/06/2019,07/07/2019,14/07/2019,21/07/2019,28/07/2019
ajani,,0.025247024999999867,0.0017392618135130267,-0.000161170528697685,0.014174238739585787,0.01666548469042972,0.01916831733141966,0.0014790564119671057,0.006762872365025263,-0.006814450914235715,-0.02928890165954079,-0.0332103415912719,0.0023855785715558575,0.0
ally,,-0.002095129600000023,0.008847593454936353,0.002790777110663667,0.01866658450675951,0.04123835038928192,0.01791655032811712,0.0069791108791568135,0.008598927198055106,0.010423527428860435,-0.015250942835694392,0.004023749683668809,0.009199072184031376,-0.002713852692359797
angel,,-0.0004226957999997616,0.0010740217844973365,-0.0008928396756546775,0.015033141070326828,0.016929583167893725,0.007465226117056467,0.004109098071638284,0.005580312227075224,0.0006251769628478065,-0.009680454388495074,-0.0011907760353748742,0.0024127027121210176,-0.0005312200412449508
ape,,-0.00036434220000003403,0.004491858773707724,0.004922282254093524,0.018201820320278284,0.024264602053006845,0.011620916966747163,0.008487937664955592,0.00975556381278686,-0.0033375192308594537,0.0012880673347337446,0.0034583016463252125,0.0018801335949725217,-0.0013988476800977923
arcane,,-0.0006790801000000624,0.011195178522950933,0.0007467121780637687,0.013648396361122916,0.043530839922964804,0.021017149349209507,0.0018747530784835043,0.015505083211402537,-0.0052352396954898905,-0.0034081229421605297,0.00039634972630131493,0.0030326384024881303,-0.0003311866056965318
archer,,-0.0030973758999999212,0.007139510648219716,-0.0038039709568701285,0.019219399551784866,0.03146178969360269,0.027483847503804615,0.005891042178057582,0.006506001376052728,-0.0035323164164885457,0.0025014920881094582,0.0018149143077486052,0.17423725183048488,-0.0020416666666667194
archon,,-0.0070970696000000055,0.024242423768759513,0.05113890777215535,0.039105375092220784,0.03474733338574065,0.04954507771377892,-0.014387821219227548,0.004226183957390273,-0.0035714289752351025,-0.004335351430582723,-0.0011619958851624146,0.036339920376300405,-0.007518796992481258
arlinn,,-0.004637681200000077,-0.006000451079161362,-0.0022922636140221275,0.02190201767368838,0.044535518325032,0.0033241000295323175,0.007692308128887104,0.0032345005253962,0.002139037929513421,0.0031914892117177462,-0.004221635559262471,-0.010133333318877336,0.014285714285714235
army,,0.0,-0.058565778099999966,-0.045875141348523774,0.007283472680227776,0.08716940506465898,0.024062509144470168,0.0018396603194894556,0.0016271283015774074,-0.0028741397035345617,-0.015711255424350368,-0.005199554747907897,-0.005403471215087108,-0.0029838961038961553
artificer,,-0.02645502649999998,0.02115384616075988,-0.007936507932516212,0.05833333347275027,0.01535555844752201,-0.005256956698397541,-0.015744239732143117,0.007225699967163379,0.0032423730286061936,-0.03228255483085951,0.04159687698545511,-0.01030662243810998,0.0
assassin,,-0.004179455800000009,0.0033903589554000746,0.0049674458838626645,0.016051729770378387,0.026739192026862257,0.007509372314071117,-0.003982449205631289,0.01186086352005411,-0.0025826069129929463,0.0012183395621980786,-0.008331608577597627,0.005132744034243686,0.005494505494505475
assembly-worker,,0.00786625799999996,0.002181052280053608,-0.0027529302246011023,0.012776524964170033,0.006449568163334529,0.017121471290130863,0.0030891779009236675,0.006062614168448777,2.881612684690893e-05,-0.0007370203072454284,0.0020364003113577667,-0.0048029149901801516,0.0
atog,,-0.00591362679999996,0.0019131224924431312,-0.00018820062662394665,0.012393709852172252,0.014275114280928758,0.0015569696354764684,0.0005501931479505728,0.020140261622783928,-0.0006386165667365828,-0.007508848689448899,0.005819284853538331,0.002142940118883274,-0.004737881114279419
aura,,-0.001885892300000025,0.0005896507177483024,0.0033170870348062653,0.01482424477235833,0.02458991121409837,0.014272851560275246,0.006635980601337188,0.011516698922628965,0.013009376269576656,-0.007900092273669168,0.002548864281835206,0.004712597933724583,0.00013520528583876867
aurochs,,-0.006944444400000083,-0.0020128824502594345,0.0,0.01960784327574827,0.0736111111179838,-0.005555555847448712,0.009803921895774614,0.0,-0.02524251825675805,0.036549707595455505,-0.03444444401644775,0.03766339866475277,0.0
avatar,,-0.0030937057000000046,-0.0026074524906326557,0.0006755515769405473,0.005355968283620172,0.014137080190070428,-0.0013524907022492982,-0.0070152766311953885,-1.751741979494348e-05,0.0008631183338627668,0.004697219659774765,-0.00859825350732224,0.0062545295922999955,0.0006340900281442963
